OG,MT,LT,CC
Pinus taeda,Quercus velutina,Quercus alba,Pinus taeda
Rubus alleghensis,Quercus rubra,Carpinus caroliniana,Liquidambar styraciflua
Geranium carolinianum,Quercus alba,Ilex opaca,Quercus alba
Polygonum hydropiper,Pinus taeda,Nyssa sylvatica,Ilex opaca
Toxicodendron radicans,Acer rubrum,Carya spp.,Carya glabra
Agalinia purpurea,Liquidambra styraciflua,Pinus taeda,Liriodendron tulipifera
Solidago spp.,Liquidambar styraciflua,Acer saccharum,Quercus rubra
Microstegium vimineum,Ilex opaca,Acer rubrum,Morus rubra
Liquidambar styraciflua,Carya glabra,Fagus grandifolia,Juniperus virginiana
Anthemis arvensis,Ulmus alata,Quercus rubra,Ulmus rubra
Eupatorium perforliatum,Ulmus rubra,Liquidambar styraciflua,Betula nigra
Lonicera japonica,Fagus grandifolia,Quercus montana,Acer rubrum
Ulmus rubra,Microstegium vimineum,Cornus florida,Ulmus alata
Acer rubrum,Toxicodendron radicans,Juniperus verginiana,Prunus serotina
Diospyros virginiana,Bignonia capreolata,Carya tomentosa,Quercus michauxii
Ligustrum spp.,Vitis vinifera,Sassafras spp.,Nyssa sylvatica
,Lonicera japonica,Microstegium vimineum,Cornus florida
,Gleditsia triacanthos,Lonicera japonica,Carpinus caroliniana
,Rubus occidentalis L.,Toxicodendron radicans,Platanus occidentalis
,Quercus phellos,Parthenicuss quinquefolia,Fraxinus pennsylvanica
,Smilax spp,Vitis sp.,Euonymus americanus
,Parthenocissus quinquefolia,Vitus spp.,Lindera benzoin
,Polystichum acrostichoides,Parthenocissus quinuefolia,Narcissus pseudonarcissus
,,Ligustrum sinese,Allium canadense
,,Lindera spp.,Polystichum acrostichoides
,,Smilax rotundifolia,Hypoxis hirsuta
,,Oclemena acuminata,Bidens alba
,,Quercus marilandica,Desmodium paniculatum
,,Liquidambar spp.,Glycyrrhiza lepidota
,,Fraxinus americana,Vitis rotundifolia
,,Parthenocissus quinquefolia,Parthenocissus quinquefolia
,,Vitus rotundafolia,Campsis radicans
,,Ulmus alata,Lonicera japonica
,,Ligustrum sinense,Vine 1
,,,Smilax rotundifolia
,,,Bignonia capreolata
,,,Oxydendrum arboreum
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
